"","X","Bird.ID","Date","x","y","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water","BurnDate1","BurnDate2","LastBurn"
"72",2166,"162.101_220291","2023-06-23",-77.9992348076644,34.0827229804584,1,0,"bluepond",1,0.705287635326385,0.582278490066528,0,0.443037986755371,0,0,38.5397834777832,4.08985948562622,416.022705078125,0,95.4914703369141,82.3178405761719,NA,NA,NA
"73",2187,"162.103_220217","2022-05-20",-77.9982310534389,34.0738887858997,0,0,"billjones",1,0.488942950963974,0,0,0.721518993377686,0,0.278481006622314,79.6644287109375,58.3721504211426,79.1671371459961,0,81.1596527099609,2.02300071716309,NA,NA,NA
"74",2307,"162.120_220887","2023-01-11",-77.9769126605872,34.0725221904065,1,0,"bigbay",1,0.602253973484039,0.632911384105682,0.139240503311157,0.265822798013687,0,0,99.2368011474609,4.28068017959595,11.7517328262329,0,103.279663085938,75.5941619873047,NA,NA,NA
"75",2308,"162.120_220887","2023-02-13",-77.9682750302378,34.0708478406245,1,0,"bigbay",1,0.247231230139732,0,0,0.139240503311157,0,0,37.6714706420898,79.3014602661133,256.191131591797,21.3498725891113,178.684356689453,94.5402984619141,NA,NA,NA
"76",2309,"162.120_220887","2023-01-27",-77.9763863685426,34.0697325535587,1,0,"bigbay",1,0.448993772268295,0.531645596027374,0.088607594370842,0.088607594370842,0,0,20.7326622009277,0,26.1204204559326,22.5617809295654,44.5570526123047,138.867309570312,NA,NA,NA
"77",2315,"162.120_220887","2023-02-20",-77.9814861868953,34.0757433995214,1,0,"bigbay",1,0.597213685512543,0,0,1,0,0,92.1404113769531,69.6104507446289,54.9130554199219,0,160.440017700195,116.899391174316,NA,NA,NA
"78",2321,"162.120_220887","2023-01-18",-77.985191845888,34.0734893875139,1,1,"bigbay",1,0.685812413692474,0.0253164563328028,0.632911384105682,0.341772139072418,0,0,47.9681282043457,24.7223987579346,0,0,60.612922668457,68.3983154296875,NA,NA,NA
"79",2323,"162.120_220887","2023-01-06",-77.9583406457384,34.0735940709427,1,0,"bigbay",1,0.217342168092728,0.367088615894318,0,0,0,0.0759493634104729,27.3018665313721,3.6334912776947,602.148559570312,156.578994750977,102.688423156738,16.9888553619385,NA,NA,NA
"80",2325,"162.120_220887","2023-01-23",-77.974823358653,34.0753808102447,1,0,"bigbay",1,0.292263865470886,0,0,0,0,0.164556965231895,85.0561828613281,46.765380859375,146.385711669922,64.1979522705078,228.53889465332,0,NA,NA,NA
"81",2331,"162.120_220887","2023-02-27",-77.9695429076097,34.0687205868653,1,0,"bigbay",1,0.203525081276894,0.0126582281664014,0,0.0126582281664014,0,0.113924048841,8.2528076171875,37.929515838623,243.048782348633,36.82568359375,130.509582519531,13.58616065979,NA,NA,NA
"82",2337,"162.120_220887","2023-02-02",-77.9847885616142,34.0736255629745,1,1,"bigbay",1,0.691039264202118,0.126582279801369,0.632911384105682,0.202531650662422,0,0,32.5561943054199,17.1968040466309,0,1.66295087337494,58.3788528442383,69.7754058837891,NA,NA,NA
"83",2340,"162.120_220887","2023-02-13",-77.9847801336202,34.0735191675668,1,1,"bigbay",1,0.691039264202118,0.126582279801369,0.632911384105682,0.202531650662422,0,0,30.72727394104,15.7243423461914,0,0,51.2141304016113,76.3775253295898,NA,NA,NA
"84",2346,"162.120_220887","2022-12-28",-77.988326769366,34.0698071018918,0,0,"bigbay",1,0.647172629833221,0.417721509933472,0,0.607594907283783,0,0,54.3261795043945,10.1189756393433,31.1637649536133,0,89.6258392333984,98.9322280883789,NA,NA,NA
"85",2362,"162.120_220887","2023-03-14",-77.9876694352077,34.0752749275665,1,0,"bigbay",1,-0.0679735317826271,0,0.0379746817052364,0.227848097681999,0,0.721518993377686,91.184196472168,68.4668502807617,29.7009963989258,8.98098468780518,168.281799316406,0,NA,NA,NA
"86",2363,"162.120_220887","2023-01-23",-77.9718255192603,34.0603318434774,1,0,"bigbay",1,0.445606410503387,0.607594907283783,0,0,0,0.139240503311157,14.483154296875,2.5481960773468,408.013000488281,46.0095176696777,37.2647399902344,4.62863922119141,NA,NA,NA
"87",2373,"162.120_220887","2023-04-14",-77.9682918207837,34.0711869217798,1,0,"bigbay",1,0.343501210212708,0,0,0.265822798013687,0,0,52.9437789916992,91.8580322265625,254.97785949707,5.25605201721191,189.025604248047,101.259208679199,NA,NA,NA
"88",2377,"162.120_220887","2023-03-10",-77.9570575352156,34.0728867705017,1,0,"bigbay",1,0.60779482126236,0.77215188741684,0,0,0,0.0379746817052364,23.3582935333252,0,638.816833496094,177.999313354492,80.6642761230469,35.2680511474609,NA,NA,NA
"89",2378,"162.120_220887","2023-01-06",-77.9588349008467,34.0744855307971,1,0,"bigbay",1,0.166112989187241,0,0,0,0,0.113924048841,58.7393989562988,38.8546409606934,590.498779296875,120.015739440918,113.954818725586,21.3136196136475,NA,NA,NA
"90",2381,"162.132_220253","2022-04-07",-78.0091633395461,34.0668500002065,0,0,"billjones",1,0.653946578502655,0,0.379746824502945,0.683544278144836,0,0,35.4587554931641,77.1413192749023,1.2483366727829,0,62.8361587524414,302.300964355469,NA,NA,NA
"91",2396,"162.132_220253","2022-04-28",-78.0148379359593,34.0592585424115,0,0,"billjones",1,0.682531356811523,0.202531650662422,0,0.810126602649689,0,0,83.0333709716797,15.8105583190918,109.285850524902,0,41.7864837646484,194.164306640625,NA,NA,NA
"92",2609,"162.157_230819","2023-07-12",-78.0084104941371,34.0616465385232,1,1,"billjones",1,0.677081644535065,0.0126582281664014,0.113924048841,0.873417735099792,0,0,50.9375877380371,30.4864521026611,14.4078712463379,0,56.0911750793457,162.471908569336,NA,NA,NA
"93",2611,"162.157_230819","2023-07-12",-77.9936903256282,34.0679674146186,1,0,"billjones",1,0.417889803647995,0.886075973510742,0,0.101265825331211,0,0,8.23547744750977,0.762232601642609,98.7296981811523,0,48.2488479614258,194.29914855957,NA,NA,NA
"94",2623,"162.157_230819","2023-07-17",-78.0070679035545,34.062394187488,1,1,"billjones",1,0.689922690391541,0.0632911399006844,0.113924048841,0.848101258277893,0,0,49.3615455627441,26.9986057281494,18.0345554351807,0,65.1732025146484,204.181243896484,NA,NA,NA
"95",2628,"162.157_230819","2023-07-18",-78.0074544638926,34.0624443674371,1,1,"billjones",1,0.641521811485291,0.0126582281664014,0.278481006622314,0.721518993377686,0,0,43.3545989990234,34.2327156066895,7.12960863113403,0,63.4902877807617,200.893310546875,NA,NA,NA
"96",2869,"162.166_231031","2023-07-11",-78.0075457453019,34.062762907355,1,1,"billjones",1,0.548883199691772,0,0.430379748344421,0.569620251655579,0,0,26.4092884063721,45.2227096557617,2.43881106376648,0,52.378547668457,215.111602783203,NA,NA,NA
